indexPandas,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2891980,2008,5,26,1,818.0,825,1413.0,1425,AA,1238,N594AA,235.0,240.0,211.0,-12.0,-7.0,SEA,ORD,1721,7.0,17.0,0,,0,,,,,
2345017,2008,4,18,5,1552.0,1545,1652.0,1647,CO,6,N47332,60.0,62.0,35.0,5.0,7.0,IAH,SAT,191,4.0,21.0,0,,0,,,,,
6331007,2008,11,12,3,851.0,851,929.0,934,NW,1133,N776NC,98.0,103.0,75.0,-5.0,0.0,DTW,BNA,457,7.0,16.0,0,,0,,,,,
5398081,2008,10,7,2,843.0,845,950.0,955,WN,1004,N620SW,67.0,70.0,40.0,-5.0,-2.0,LAS,LAX,236,9.0,18.0,0,,0,,,,,
6652811,2008,12,29,1,2058.0,1952,2154.0,2058,OO,6479,N909SW,116.0,126.0,99.0,56.0,66.0,ABQ,LAX,677,6.0,11.0,0,,0,0.0,0.0,0.0,0.0,56.0
16892,2008,1,8,2,2020.0,2020,2112.0,2115,WN,1230,N715SW,52.0,55.0,41.0,-3.0,0.0,MCI,STL,237,4.0,7.0,0,,0,,,,,
6300096,2008,11,5,3,2111.0,2055,2345.0,2335,MQ,4117,N508MQ,94.0,100.0,82.0,10.0,16.0,ORD,DCA,612,2.0,10.0,0,,0,,,,,
2479490,2008,5,30,5,1004.0,1005,1104.0,1055,WN,2269,N527SW,180.0,170.0,169.0,9.0,-1.0,OMA,LAS,1099,3.0,8.0,0,,0,,,,,
6756985,2008,12,30,2,725.0,710,904.0,831,DL,1653,N912DE,99.0,81.0,43.0,33.0,15.0,CLT,ATL,227,11.0,45.0,0,,0,15.0,0.0,18.0,0.0,0.0
2064924,2008,4,17,4,818.0,820,1104.0,1112,US,273,N314AW,166.0,172.0,145.0,-8.0,-2.0,SEA,PHX,1107,6.0,15.0,0,,0,,,,,
3724741,2008,7,6,7,1023.0,1020,1140.0,1137,XE,3108,N13903,77.0,77.0,59.0,3.0,3.0,IAH,OKC,395,4.0,14.0,0,,0,,,,,
6754376,2008,12,28,7,1931.0,1845,2233.0,2141,DL,1462,N915DE,182.0,176.0,139.0,52.0,46.0,FLL,LGA,1076,21.0,22.0,0,,0,10.0,0.0,6.0,0.0,36.0
3605555,2008,7,3,4,1901.0,1855,1955.0,1955,WN,2282,N779SW,54.0,60.0,44.0,0.0,6.0,DAL,SAT,248,3.0,7.0,0,,0,,,,,
5687217,2008,10,15,3,1340.0,1345,1434.0,1435,EV,5150,N974EV,54.0,50.0,27.0,-1.0,-5.0,CHA,ATL,106,5.0,22.0,0,,0,,,,,
5938253,2008,10,12,7,1046.0,1050,1230.0,1236,DL,1268,N956DL,104.0,106.0,84.0,-6.0,-4.0,PBI,ATL,545,7.0,13.0,0,,0,,,,,
6309797,2008,11,26,3,2001.0,1940,2058.0,2110,MQ,4616,N723MQ,57.0,90.0,42.0,-12.0,21.0,JFK,BOS,187,3.0,12.0,0,,0,,,,,
6737510,2008,12,14,7,958.0,1000,1439.0,1445,DL,325,N646DL,221.0,225.0,182.0,-6.0,-2.0,ATL,STT,1599,6.0,33.0,0,,0,,,,,
1303918,2008,3,30,7,609.0,617,814.0,814,XE,2448,N24517,125.0,117.0,100.0,0.0,-8.0,MGM,IAH,554,5.0,20.0,0,,0,,,,,
1909017,2008,4,19,6,1547.0,1540,1826.0,1828,XE,2344,N16151,159.0,168.0,140.0,-2.0,7.0,MIA,CLE,1080,4.0,15.0,0,,0,,,,,
4003719,2008,7,17,4,1656.0,1655,1747.0,1757,MQ,3227,N211NE,51.0,62.0,37.0,-10.0,1.0,DFW,LAW,140,2.0,12.0,0,,0,,,,,
234611,2008,1,11,5,1224.0,1210,1418.0,1335,UA,556,N346UA,114.0,85.0,71.0,43.0,14.0,LAX,SFO,337,6.0,37.0,0,,0,0.0,0.0,43.0,0.0,0.0
1711143,2008,3,8,6,1653.0,1655,1835.0,1850,AA,2477,N619AA,102.0,115.0,82.0,-15.0,-2.0,STL,DFW,551,8.0,12.0,0,,0,,,,,
