indexPandas,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1095412,2008,2,5,2,2211.0,2130,122.0,20,AA,2020,N3CHAA,131.0,110.0,106.0,62.0,41.0,DFW,ATL,732,11.0,14.0,0,,0,0.0,5.0,21.0,0.0,36.0
5317350,2008,9,6,6,630.0,640,739.0,800,AA,2401,N279AA,189.0,200.0,166.0,-21.0,-10.0,DFW,LAX,1235,9.0,14.0,0,,0,,,,,
3914109,2008,7,1,2,1240.0,1230,1358.0,1350,WN,1332,N706SW,78.0,80.0,59.0,8.0,10.0,PHX,LAX,370,7.0,12.0,0,,0,,,,,
2887693,2008,5,6,2,2303.0,2310,450.0,505,AA,1092,N5DUAA,227.0,235.0,206.0,-15.0,-7.0,LAX,ORD,1745,6.0,15.0,0,,0,,,,,
3502090,2008,6,11,3,1221.0,1225,1328.0,1340,AA,1381,N543AA,127.0,135.0,103.0,-12.0,-4.0,ATL,DFW,732,7.0,17.0,0,,0,,,,,
3185953,2008,6,13,5,2235.0,2235,1.0,2359,OO,6453,N778SK,86.0,84.0,55.0,2.0,0.0,LAX,PHX,370,6.0,25.0,0,,0,,,,,
1101102,2008,2,20,3,1232.0,1235,1354.0,1400,AA,2427,N3AWAA,202.0,205.0,178.0,-6.0,-3.0,DFW,LAX,1235,9.0,15.0,0,,0,,,,,
3825132,2008,7,28,1,1533.0,1533,1651.0,1654,OO,6522,N948SW,78.0,81.0,58.0,-3.0,0.0,PHX,LAX,370,7.0,13.0,0,,0,,,,,
36327,2008,1,14,1,1625.0,1625,1846.0,1840,WN,1320,N397SW,81.0,75.0,59.0,6.0,0.0,LAX,PHX,370,4.0,18.0,0,,0,,,,,
1099487,2008,2,10,7,749.0,755,1002.0,1010,AA,2328,N508AA,133.0,135.0,112.0,-8.0,-6.0,DFW,ORD,802,6.0,15.0,0,,0,,,,,
4760952,2008,8,19,2,7.0,10,454.0,505,AA,2210,N3AAAA,167.0,175.0,144.0,-11.0,-3.0,LAX,DFW,1235,8.0,15.0,0,,0,,,,,
2916480,2008,5,17,6,1603.0,1605,1816.0,1835,AA,2337,N251AA,133.0,150.0,117.0,-19.0,-2.0,ORD,DFW,802,6.0,10.0,0,,0,,,,,
4763114,2008,8,21,4,1746.0,1750,2032.0,2015,AA,2345,N4YBAA,166.0,145.0,113.0,17.0,-4.0,ORD,DFW,802,11.0,42.0,0,,0,0.0,0.0,17.0,0.0,0.0
1099384,2008,2,23,6,609.0,600,823.0,815,AA,2320,N4XBAA,134.0,135.0,106.0,8.0,9.0,DFW,ORD,802,10.0,18.0,0,,0,,,,,
3645560,2008,7,15,2,1715.0,1715,1832.0,1835,WN,3660,N675AA,77.0,80.0,66.0,-3.0,0.0,LAX,PHX,370,5.0,6.0,0,,0,,,,,
4128433,2008,7,22,2,1422.0,1415,1439.0,1435,AA,1457,N446AA,137.0,140.0,114.0,4.0,7.0,DFW,PHX,868,7.0,16.0,0,,0,,,,,
2310544,2008,4,4,5,1509.0,1505,1714.0,1729,AA,2356,N557AA,125.0,144.0,98.0,-15.0,4.0,DFW,ORD,802,7.0,20.0,0,,0,,,,,
4741772,2008,8,9,6,1821.0,1827,2041.0,1945,AA,1348,N421AA,200.0,138.0,97.0,56.0,-6.0,ATL,ORD,606,8.0,95.0,0,,0,0.0,0.0,56.0,0.0,0.0
6940685,2008,12,25,4,1428.0,1425,1654.0,1705,AA,2331,N488AA,146.0,160.0,124.0,-11.0,3.0,ORD,DFW,802,8.0,14.0,0,,0,,,,,
1388761,2008,3,26,3,1824.0,1755,1939.0,1925,OO,6528,N946SW,75.0,90.0,58.0,14.0,29.0,LAX,PHX,370,4.0,13.0,0,,0,,,,,
3808490,2008,7,18,5,859.0,628,1106.0,846,OO,6441,N745SK,127.0,138.0,106.0,140.0,151.0,ORD,DFW,802,6.0,15.0,0,,0,140.0,0.0,0.0,0.0,0.0
2914718,2008,5,26,1,1520.0,1525,1829.0,1835,AA,2222,N493AA,129.0,130.0,104.0,-6.0,-5.0,DFW,ATL,732,13.0,12.0,0,,0,,,,,
6919765,2008,12,15,1,737.0,740,1037.0,1050,AA,1250,N4XKAA,120.0,130.0,101.0,-13.0,-3.0,DFW,ATL,732,12.0,7.0,0,,0,,,,,
