indexPandas,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1669828,2008,3,11,2,623.0,630,1107.0,1040,AA,558,N596AA,164.0,130.0,116.0,27.0,-7.0,PHX,DFW,868,14.0,34.0,0,,0,0.0,0.0,27.0,0.0,0.0
1696816,2008,3,23,7,1539.0,1515,1957.0,1930,AA,1702,N440AA,138.0,135.0,118.0,27.0,24.0,PHX,DFW,868,7.0,13.0,0,,0,24.0,0.0,3.0,0.0,0.0
6923552,2008,12,16,2,,950,,1305,AA,1392,N3ANAA,,135.0,,,,PHX,DFW,868,,,1,A,0,,,,,
5871183,2008,10,23,4,732.0,735,949.0,955,AA,2305,N509AA,137.0,140.0,122.0,-6.0,-3.0,ORD,DFW,802,5.0,10.0,0,,0,,,,,
4763045,2008,8,11,1,1641.0,1645,1911.0,1915,AA,2341,N509AA,150.0,150.0,122.0,-4.0,-4.0,ORD,DFW,802,14.0,14.0,0,,0,,,,,
1709698,2008,3,9,7,2002.0,1955,2210.0,2210,AA,2374,N529AA,128.0,135.0,99.0,0.0,7.0,DFW,ORD,802,10.0,19.0,0,,0,,,,,
81792,2008,1,28,1,1407.0,1350,1614.0,1605,WN,1573,N754SW,67.0,75.0,55.0,9.0,17.0,LAX,PHX,370,4.0,8.0,0,,0,,,,,
769237,2008,2,3,7,921.0,931,1006.0,959,OO,6526,N767SK,105.0,88.0,78.0,7.0,-10.0,PHX,LAX,370,16.0,11.0,0,,0,,,,,
6398725,2008,11,17,1,955.0,920,1056.0,1040,AA,2409,N3CHAA,181.0,200.0,159.0,16.0,35.0,DFW,LAX,1235,10.0,12.0,0,,0,0.0,0.0,0.0,0.0,16.0
4731054,2008,8,1,5,,600,,1205,AA,898,,,245.0,,,,LAX,ORD,1745,,,1,A,0,,,,,
6123302,2008,11,6,4,1732.0,1739,2004.0,2000,OO,6528,N941SW,92.0,81.0,66.0,4.0,-7.0,LAX,PHX,370,4.0,22.0,0,,0,,,,,
