indexPandas,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
4258886,2008,8,10,7,947.0,945,1105.0,1115,WN,2159,N331SW,78.0,90.0,58.0,-10.0,2.0,PHX,LAX,370,8.0,12.0,0,,0,,,,,
5289757,2008,9,16,2,2323.0,2325,533.0,520,AA,1092,N202AA,250.0,235.0,220.0,13.0,-2.0,LAX,ORD,1745,8.0,22.0,0,,0,,,,,
4134635,2008,7,18,5,629.0,635,720.0,740,AA,1695,N537AA,111.0,125.0,99.0,-20.0,-6.0,ATL,DFW,732,5.0,7.0,0,,0,,,,,
1696821,2008,3,28,5,1514.0,1515,1935.0,1930,AA,1702,N411AA,141.0,135.0,118.0,5.0,-1.0,PHX,DFW,868,10.0,13.0,0,,0,,,,,
2904215,2008,5,8,4,2047.0,2040,2329.0,2300,AA,1693,N5EPAA,282.0,260.0,245.0,29.0,7.0,ORD,LAX,1745,14.0,23.0,0,,0,0.0,0.0,22.0,0.0,7.0
3202523,2008,6,23,1,1920.0,1925,2037.0,2050,OO,6528,N958SW,77.0,85.0,58.0,-13.0,-5.0,PHX,LAX,370,7.0,12.0,0,,0,,,,,
2905491,2008,5,30,5,2238.0,1950,50.0,2135,AA,1733,N4XHAA,252.0,225.0,222.0,195.0,168.0,ORD,PHX,1440,6.0,24.0,0,,0,0.0,0.0,27.0,0.0,168.0
6380485,2008,11,20,4,1816.0,1820,1922.0,1950,AA,1348,N244AA,126.0,150.0,100.0,-28.0,-4.0,ATL,ORD,606,9.0,17.0,0,,0,,,,,
4148611,2008,7,8,2,658.0,655,941.0,950,AA,2441,N496AA,103.0,115.0,86.0,-9.0,3.0,ORD,ATL,606,7.0,10.0,0,,0,,,,,
4146909,2008,7,11,5,1132.0,1135,1445.0,1350,AA,2344,N214AA,193.0,135.0,147.0,55.0,-3.0,DFW,ORD,802,32.0,14.0,0,,0,0.0,0.0,55.0,0.0,0.0
4146578,2008,7,14,1,749.0,750,1002.0,1005,AA,2328,N578AA,133.0,135.0,109.0,-3.0,-1.0,DFW,ORD,802,10.0,14.0,0,,0,,,,,
671130,2008,2,22,5,1823.0,1800,1856.0,1820,WN,1114,N404WN,93.0,80.0,73.0,36.0,23.0,PHX,LAX,370,8.0,12.0,0,,0,3.0,0.0,13.0,0.0,20.0
525593,2008,1,3,4,712.0,715,1156.0,1130,AA,2268,N297AA,224.0,195.0,176.0,26.0,-3.0,PHX,ORD,1440,39.0,9.0,0,,0,0.0,0.0,26.0,0.0,0.0
6486199,2008,12,9,2,1723.0,1725,1734.0,1745,WN,2781,N219WN,71.0,80.0,54.0,-11.0,-2.0,PHX,LAX,370,12.0,5.0,0,,0,,,,,
2915820,2008,5,7,3,557.0,600,827.0,820,AA,2301,N585AA,150.0,140.0,125.0,7.0,-3.0,ORD,DFW,802,11.0,14.0,0,,0,,,,,
6373954,2008,11,12,3,918.0,920,1352.0,1340,AA,1098,N497AA,214.0,200.0,191.0,12.0,-2.0,PHX,ORD,1440,11.0,12.0,0,,0,,,,,
4720446,2008,8,25,1,610.0,615,1029.0,1035,AA,438,N497AA,139.0,140.0,120.0,-6.0,-5.0,PHX,DFW,868,8.0,11.0,0,,0,,,,,
